# Spanish adjectives, adverbs and function words — authoring source for core-es.
# Columns: id	lemma	gloss (en)	pos	level	topics	extra surface forms (optional)
# Adjectives and numerals become word cards, so only those rows carry an id. A
# numeral no sentence uses yet carries `-` instead: every card needs an example,
# so it stays a lexeme until one exists. Never type a Spanish numeral here — the
# build checks each against `src/languages/es/numerals.ts` and refuses a spelling
# that module would not produce. Leave the id off
# a new row: the build assigns one and writes it back.
# Adjectives are listed in the masculine singular; the build derives the other
# surface forms so that "cansada" in a sentence still links to this lexeme.
600001	bueno	good	ADJ	a1	core	buen
600002	malo	bad	ADJ	a1	core	mal
600003	grande	big	ADJ	a1	core	gran
600004	pequeño	small	ADJ	a1	core
600005	nuevo	new	ADJ	a1	core
600006	viejo	old	ADJ	a1	core
600007	joven	young	ADJ	a1	people
600008	alto	tall, high	ADJ	a1	core
600009	bajo	short, low	ADJ	a1	core
600010	largo	long	ADJ	a1	core
600011	corto	short	ADJ	a1	core
600012	gordo	fat	ADJ	a2	people
600013	delgado	thin	ADJ	a2	people
600014	guapo	good-looking	ADJ	a1	people
600015	bonito	pretty, nice	ADJ	a1	core
600016	feo	ugly	ADJ	a2	core
600017	limpio	clean	ADJ	a1	home
600018	sucio	dirty	ADJ	a1	home
600019	fácil	easy	ADJ	a1	core
600020	difícil	difficult	ADJ	a1	core
600021	importante	important	ADJ	a1	core
600022	interesante	interesting	ADJ	a1	core
600023	aburrido	boring	ADJ	a1	core
600024	divertido	fun	ADJ	a1	core
600025	cansado	tired	ADJ	a1	health
600026	contento	happy, pleased	ADJ	a1	feelings
600027	feliz	happy	ADJ	a1	feelings
600028	triste	sad	ADJ	a1	feelings
600029	enfermo	ill	ADJ	a1	health
600030	fuerte	strong	ADJ	a1	core
600031	débil	weak	ADJ	a2	core
600032	rápido	fast	ADJ	a1	core
600033	lento	slow	ADJ	a1	core
600034	caro	expensive	ADJ	a1	shopping
600035	barato	cheap	ADJ	a1	shopping
600036	rico	rich, tasty	ADJ	a1	core
600037	pobre	poor	ADJ	a2	core
600038	caliente	hot	ADJ	a1	food-drink
600039	frío	cold	ADJ	a1	weather
600040	listo	ready, clever	ADJ	a1	core
600041	amable	kind	ADJ	a1	people
600042	simpático	nice, friendly	ADJ	a1	people
600043	tranquilo	calm, quiet	ADJ	a1	feelings
600044	nervioso	nervous	ADJ	a2	feelings
600045	ocupado	busy	ADJ	a1	work
600046	libre	free	ADJ	a1	core
600047	lleno	full	ADJ	a2	core
600048	vacío	empty	ADJ	a2	core
600049	abierto	open	ADJ	a1	city
600050	cerrado	closed	ADJ	a1	city
600051	primero	first	ADJ	a1	core	primer
600052	último	last	ADJ	a1	core
600053	mismo	same	ADJ	a1	core
600054	otro	other, another	ADJ	a1	core
600055	próximo	next	ADJ	a1	time
600056	blanco	white	ADJ	a1	colours
600057	negro	black	ADJ	a1	colours
600058	rojo	red	ADJ	a1	colours
600059	azul	blue	ADJ	a1	colours
600060	verde	green	ADJ	a1	colours
600061	amarillo	yellow	ADJ	a1	colours
600062	gris	grey	ADJ	a2	colours
aquí	here	ADV	a1	place
allí	there	ADV	a1	place
ahora	now	ADV	a1	time
hoy	today	ADV	a1	time
ayer	yesterday	ADV	a1	time
siempre	always	ADV	a1	time
nunca	never	ADV	a1	time
también	also, too	ADV	a1	core
tampoco	neither	ADV	a2	core
muy	very	ADV	a1	core
más	more	ADV	a1	core
menos	less	ADV	a1	core
ya	already, now	ADV	a1	time
todavía	still, yet	ADV	a1	time
bien	well	ADV	a1	core
mal	badly	ADV	a1	core
casi	almost	ADV	a1	core
solo	only, alone	ADV	a1	core
temprano	early	ADV	a1	time
pronto	soon	ADV	a1	time
despacio	slowly	ADV	a2	core
demasiado	too much	ADV	a2	core
mucho	a lot, much	ADV	a1	core	mucha,muchos,muchas
poco	little, few	ADV	a1	core	poca,pocos,pocas
bastante	quite, enough	ADV	a2	core
juntos	together	ADV	a2	social
yo	I	PRON	a1	grammar
tú	you (informal)	PRON	a1	grammar
él	he	PRON	a1	grammar
ella	she	PRON	a1	grammar
usted	you (formal)	PRON	a1	grammar
nosotros	we	PRON	a1	grammar
ellos	they	PRON	a1	grammar
me	me, myself	PRON	a1	grammar
te	you, yourself	PRON	a1	grammar
se	himself, herself, oneself	PRON	a1	grammar
nos	us, ourselves	PRON	a1	grammar
lo	it, him	PRON	a1	grammar
le	to him, to her	PRON	a1	grammar
qué	what	PRON	a1	questions
quién	who	PRON	a1	questions
cuál	which	PRON	a1	questions
cuánto	how much	PRON	a1	questions	cuánta,cuántos,cuántas
dónde	where	ADV	a1	questions
cuándo	when	ADV	a1	questions
cómo	how	ADV	a1	questions
por qué	why	ADV	a1	questions
a	to, at	ADP	a1	grammar
de	of, from	ADP	a1	grammar
en	in, on	ADP	a1	grammar
con	with	ADP	a1	grammar
sin	without	ADP	a1	grammar
para	for, in order to	ADP	a1	grammar
por	for, by, through	ADP	a1	grammar
sobre	on, about	ADP	a2	grammar
entre	between	ADP	a2	grammar
hasta	until, up to	ADP	a1	grammar
desde	from, since	ADP	a2	grammar
antes	before	ADV	a1	time
después	after, afterwards	ADV	a1	time
cerca	near	ADV	a1	place
lejos	far	ADV	a1	place
y	and	CCONJ	a1	grammar
o	or	CCONJ	a1	grammar
pero	but	CCONJ	a1	grammar
porque	because	SCONJ	a1	grammar
que	that, than	SCONJ	a1	grammar
si	if	SCONJ	a1	grammar
cuando	when	SCONJ	a1	grammar
como	like, as	SCONJ	a1	grammar
sí	yes	INTJ	a1	core
no	no, not	ADV	a1	core
hola	hello	INTJ	a1	greetings
adiós	goodbye	INTJ	a1	greetings
gracias	thank you	INTJ	a1	greetings
perdón	sorry, excuse me	INTJ	a1	greetings
el	the	DET	a1	grammar	la,los,las
un	a, an	DET	a1	grammar	una,unos,unas
mi	my	DET	a1	grammar	mis
tu	your	DET	a1	grammar	tus
su	his, her, their	DET	a1	grammar	sus
nuestro	our	DET	a1	grammar	nuestra,nuestros,nuestras
este	this	DET	a1	grammar	esta,estos,estas
ese	that	DET	a1	grammar	esa,esos,esas
al	to the	ADP	a1	grammar	
