# Everyday core sentences.
# Columns: id	spanish	english	level	topics	note	register	address	regions	passage	speaker	skills
# Leave the id off a new row — omit the column entirely, do not leave it empty:
# a leading tab shifts every field one place. The build assigns one, writes it
# back, and the
# row keeps it thereafter however the file is edited, reordered or split.
000001	Hola, ¿cómo estás?	Hi, how are you?	a1	greetings		colloquial	tu	
000002	Buenos días.	Good morning.	a1	greetings		neutral		
000003	Buenas tardes.	Good afternoon.	a1	greetings		neutral		
000004	Buenas noches.	Good evening.	a1	greetings		neutral		
000005	¿Cómo te llamas?	What's your name?	a1	greetings	Literally: how do you call yourself?
000006	Me llamo Ana.	My name is Ana.	a1	greetings
000007	Mucho gusto.	Nice to meet you.	a1	greetings		neutral
000008	¿De dónde eres?	Where are you from?	a1	greetings,social,questions							ask-about-origin
000009	Soy de España.	I'm from Spain.	a1	greetings
000010	¿Hablas inglés?	Do you speak English?	a1	communication
000011	No hablo mucho español.	I don't speak much Spanish.	a1	communication
000012	Hablo un poco de español.	I speak a little Spanish.	a1	communication
000013	No entiendo.	I don't understand.	a1	communication
000014	¿Puedes repetir, por favor?	Can you repeat, please?	a1	communication							ask-to-repeat
000015	Más despacio, por favor.	Slower, please.	a1	communication							ask-to-slow-down
000016	¿Qué significa esta palabra?	What does this word mean?	a1	language							ask-what-something-means
000017	¿Cómo se dice en español?	How do you say it in Spanish?	a1	language							ask-for-a-word
000018	Gracias por tu ayuda.	Thanks for your help.	a1	greetings		colloquial	tu	
000019	De nada.	You're welcome.	a1	greetings		neutral		
000020	Perdón, no te oigo.	Sorry, I can't hear you.	a1	communication		colloquial	tu	
000021	Lo siento mucho.	I'm very sorry.	a1	greetings		neutral		
000022	Hasta mañana.	See you tomorrow.	a1	greetings		colloquial		
000023	Adiós, buen viaje.	Goodbye, have a good trip.	a1	greetings		neutral		
000024	Tengo que trabajar.	I have to work.	a1	work	tener que + infinitive means to have to do something
000025	Tengo que irme.	I have to go.	a1	core
000026	Tengo hambre.	I'm hungry.	a1	food-drink	Spanish "has" hunger rather than "being" hungry
000027	Tengo sed.	I'm thirsty.	a1	food-drink
000028	Tengo frío.	I'm cold.	a1	weather
000029	Tengo calor.	I'm hot.	a1	weather
000030	Tengo sueño.	I'm sleepy.	a1	health
000031	Tengo miedo.	I'm afraid.	a1	feelings
000032	Tengo prisa.	I'm in a hurry.	a1	core
000033	Tengo treinta años.	I'm thirty years old.	a1	people,numbers	Age is expressed with tener, not ser
000034	¿Cuántos años tienes?	How old are you?	a1	people
000035	No tengo tiempo hoy.	I don't have time today.	a1	time
000036	Tenemos que esperar.	We have to wait.	a1	core
000037	¿Tienes tiempo esta tarde?	Do you have time this afternoon?	a1	time
000038	Mi hermana tiene dos hijos.	My sister has two children.	a1	family,numbers
000039	Soy profesor.	I'm a teacher.	a1	work	No article before professions
000040	Ella es médica.	She is a doctor.	a1	work
000041	Somos amigos.	We are friends.	a1	social
