# Natural alternatives for communicative moves, plus the connected situations
# that teach them. These remain ordinary sentence items; the mission catalog
# groups them into a response palette without storing an exercise in content.
# Columns: id	spanish	english	level	topics	note	register	address	regions	passage	speaker	skills
# Leave the id off a new row — omit the column entirely, do not leave it empty:
# a leading tab shifts every field one place and the build reads a speaker as a
# skill. The build assigns an id and writes it back.

# ── Conocer a alguien (model dialogue) ────────────────────────────────────────
000705	Hola, me llamo Luis.	Hello, my name is Luis.	a1	greetings		colloquial	tu		saludo-inicial	Luis	greet-someone
000706	Hola, Luis. Soy Marta. Mucho gusto.	Hello, Luis. I'm Marta. Nice to meet you.	a1	greetings		colloquial	tu		saludo-inicial	Marta	greet-someone
000707	Mucho gusto. ¿Cómo estás?	Nice to meet you. How are you?	a1	greetings		colloquial	tu		saludo-inicial	Luis	ask-about-wellbeing
000708	Muy bien, gracias. ¿Y tú?	Very well, thank you. And you?	a1	greetings		colloquial	tu		saludo-inicial	Marta	respond-to-wellbeing
000709	Estoy bien, gracias.	I'm fine, thank you.	a1	greetings,feelings		colloquial	tu		saludo-inicial	Luis	respond-to-wellbeing
000985	¿Y de dónde eres?	And where are you from?	a1	greetings,social,questions		colloquial	tu		saludo-inicial	Marta	ask-about-origin
000986	Soy de Grecia, pero vivo en Alemania.	I'm from Greece, but I live in Germany.	a1	social,city		colloquial	tu		saludo-inicial	Luis	say-where-youre-from,say-where-you-are-based
000987	¡Qué interesante! ¿Y te gusta vivir allí?	How interesting! And do you like living there?	a1	social,feelings		colloquial	tu		saludo-inicial	Marta	react-with-interest
000988	Sí, me gusta mucho. La gente es muy amable.	Yes, I like it a lot. The people are very kind.	a1	social,feelings		colloquial	tu		saludo-inicial	Luis	say-if-you-like-a-place
000989	¿Y en qué trabajas?	And what do you do for work?	a1	social,work,questions		colloquial	tu		saludo-inicial	Marta	ask-what-someone-does
000990	Soy profesor. Trabajo en una escuela pequeña.	I'm a teacher. I work at a small school.	a1	social,work		colloquial	tu		saludo-inicial	Luis	say-what-you-do
000991	¡Genial! Yo trabajo en un hospital.	Great! I work in a hospital.	a1	social,work		colloquial	tu		saludo-inicial	Marta	react-with-interest,say-what-you-do
000992	¿Y qué haces en tu tiempo libre?	And what do you do in your free time?	a1	social,questions		colloquial	tu		saludo-inicial	Luis	ask-about-free-time
000993	Leo mucho y salgo con amigos. ¿Y tú?	I read a lot and go out with friends. And you?	a1	social,entertainment		colloquial	tu		saludo-inicial	Marta	talk-about-free-time
000994	Toco la guitarra y hago mucho deporte.	I play the guitar and do a lot of sport.	a1	social,music,sport		colloquial	tu		saludo-inicial	Luis	talk-about-free-time
000710	¡Qué bien! Bueno, hasta luego, Luis.	How nice! Well, see you later, Luis.	a1	greetings		colloquial	tu		saludo-inicial	Marta	close-friendly-exchange
000711	Hasta luego, Marta.	See you later, Marta.	a1	greetings		colloquial	tu		saludo-inicial	Luis	close-friendly-exchange

# ── Encontrarse con una amiga (guided transfer) ──────────────────────────────
000712	¡Hola, Luis! ¿Cómo estás hoy?	Hi, Luis! How are you today?	a1	greetings,feelings		colloquial	tu		saludo-amigo	Ana	greet-someone,ask-about-wellbeing
000713	Hola, Ana.	Hi, Ana.	a1	greetings		colloquial	tu		saludo-amigo	Luis	greet-someone
000736	Todo bien, gracias. ¿Y tú?	All good, thanks. And you?	a1	feelings		colloquial	tu		saludo-amigo	Luis	respond-to-wellbeing
000714	Estoy genial. Tengo un día muy bueno.	I'm doing great. I'm having a very good day.	a1	feelings		colloquial	tu		saludo-amigo	Ana	respond-to-wellbeing
000715	¡Qué bien! Me alegro.	That's great! I'm glad.	a1	greetings,feelings		colloquial	tu		saludo-amigo	Luis	
000995	¿Qué tal el trabajo?	How's work?	a1	social,work,questions		colloquial	tu		saludo-amigo	Ana	ask-what-someone-does
000996	Tengo mucho trabajo, pero me gusta bastante.	I have a lot of work, but I quite like it.	a1	social,work		colloquial	tu		saludo-amigo	Luis	say-what-you-do
000997	¿Y qué haces este fin de semana?	And what are you doing this weekend?	a1	social,time,questions		colloquial	tu		saludo-amigo	Ana	ask-about-free-time
000998	Voy al cine con unos amigos. ¿Y tú?	I'm going to the cinema with some friends. And you?	a1	social,entertainment		colloquial	tu		saludo-amigo	Luis	talk-about-free-time,ask-about-free-time
000999	Yo hago deporte y descanso en casa.	I do sport and rest at home.	a1	social,sport		colloquial	tu		saludo-amigo	Ana	talk-about-free-time
001000	Muy bien. Yo también necesito descansar.	Very good. I need to rest too.	a1	social,feelings		colloquial	tu		saludo-amigo	Luis	react-with-interest
001060	Oye, ¿tú eres de aquí?	Hey, are you from here?	a1	social,questions		colloquial	tu		saludo-amigo	Ana	ask-about-origin
001061	No, soy griego. Vivo aquí desde hace tres años.	No, I'm Greek. I have lived here for three years.	a1	social,city		colloquial	tu		saludo-amigo	Luis	say-where-youre-from,say-where-you-are-based
001062	¿Y estás contento aquí?	And are you happy here?	a1	social,feelings,questions		colloquial	tu		saludo-amigo	Ana	react-with-interest
001063	Sí, mucho. Tengo buenos amigos y un buen trabajo.	Yes, a lot. I have good friends and a good job.	a1	social,feelings		colloquial	tu		saludo-amigo	Luis	say-if-you-like-a-place
000716	Bueno, tengo que irme. Hasta pronto.	Well, I have to go. See you soon.	a1	greetings		colloquial	tu		saludo-amigo	Ana	close-friendly-exchange
000717	Hasta pronto, Ana.	See you soon, Ana.	a1	greetings		colloquial	tu		saludo-amigo	Luis	close-friendly-exchange

# ── Un saludo en el trabajo (guided transfer) ────────────────────────────────
000718	Buenos días, Luis. ¿Cómo está usted?	Good morning, Luis. How are you?	a1	greetings,work		formal	usted		saludo-trabajo	Compañera	greet-someone,ask-about-wellbeing
000719	Buenos días, señora López.	Good morning, Ms López.	a1	greetings,work		formal	usted		saludo-trabajo	Luis	greet-someone
000737	Estoy un poco cansado, pero bien. ¿Y usted?	I'm a little tired, but fine. And you?	a1	feelings,work		formal	usted		saludo-trabajo	Luis	respond-to-wellbeing
000720	Estoy bastante bien, gracias por preguntar.	I'm quite well, thank you for asking.	a1	feelings,work		formal	usted		saludo-trabajo	Compañera	respond-to-wellbeing
001001	¿De dónde es usted, Luis?	Where are you from, Luis?	a1	social,work,questions		formal	usted		saludo-trabajo	Compañera	ask-about-origin
001002	Soy de Grecia, pero vivo aquí desde hace tres años.	I am from Greece, but I have lived here for three years.	a1	social,city		formal	usted		saludo-trabajo	Luis	say-where-youre-from,say-where-you-are-based
001003	¡Qué bien! ¿Y le gusta la ciudad?	How nice! And do you like the city?	a1	social,city		formal	usted		saludo-trabajo	Compañera	react-with-interest
001004	Sí, mucho. Es tranquila y hay buena comida.	Yes, a lot. It's quiet and there is good food.	a1	social,city		formal	usted		saludo-trabajo	Luis	say-if-you-like-a-place
001064	¿Y qué hace usted en la empresa?	And what do you do in the company?	a1	social,work,questions		formal	usted		saludo-trabajo	Compañera	ask-what-someone-does
001065	Trabajo en la oficina, con los clientes.	I work in the office, with the customers.	a1	social,work		formal	usted		saludo-trabajo	Luis	say-what-you-do
001005	¿Y qué hace usted los fines de semana?	And what do you do at weekends?	a1	social,time,questions		formal	usted		saludo-trabajo	Compañera	ask-about-free-time
001006	Salgo con mi familia o leo en casa.	I go out with my family or read at home.	a1	social,family		formal	usted		saludo-trabajo	Luis	talk-about-free-time
000721	Me alegro. Buen día y hasta luego.	I'm glad. Have a good day and see you later.	a1	greetings,work		formal	usted		saludo-trabajo	Luis	close-friendly-exchange
000722	Igualmente, hasta luego.	You too, see you later.	a1	greetings,work		formal	usted		saludo-trabajo	Compañera	close-friendly-exchange

# ── Conocer a una vecina (independent transfer) ──────────────────────────────
