# B1 mission transfers: the same move, somewhere else.
# Columns: id	spanish	english	level	topics	note	register	address	regions	passage	speaker	skills
#
# Leave the id off a new row — omit the column entirely, do not leave it empty.
#
# Three missions, three transfers each. A transfer is not a harder version of the
# model: it is the same communicative move with the details changed, so that Use
# is not a replay of Understand. The earlier rungs change the setting and keep
# the scripting; the last one drops the script.
#
# The models live in `sentences-b1-passages.tsv` — a shop complaint, a flatmate
# conversation and a piece of advice about a job. What is here recombines them:
# the complaint moves to a bill, a parcel and a neighbour; the flat conversation
# to money, cleaning and a guest; the advice to a course, a car and a doctor.
002269	Buenos días, llamo por la factura de este mes.	Good morning, I am calling about this month's bill.	b1	money					queja-factura-b1	Cliente	make-a-complaint
002270	Dígame, ¿cuál es el problema?	Tell me, what is the problem?	b1	money		formal	usted		queja-factura-b1	Empleada	
002271	La factura es el doble que otros meses.	The bill is double what it is other months.	b1	money					queja-factura-b1	Cliente	make-a-complaint
002272	Voy a mirar los datos.	I am going to look at the figures.	b1	money,technology					queja-factura-b1	Empleada	
002273	Espero que sea un error.	I hope it is a mistake.	b1	money					queja-factura-b1	Cliente	express-a-hope
002274	Tiene razón, hay un error en el total.	You are right, there is a mistake in the total.	b1	money		formal	usted		queja-factura-b1	Empleada	
002275	¿Me devuelven la diferencia?	Will you give me the difference back?	b1	money					queja-factura-b1	Cliente	ask-someone-to-do
002276	Sí, le devolvemos el dinero este mes.	Yes, we will refund you this month.	b1	money		formal	usted		queja-factura-b1	Empleada	
002277	Compré una cosa hace dos semanas y no ha llegado.	I bought something two weeks ago and it has not arrived.	b1	shopping					queja-paquete-b1	Cliente	make-a-complaint
002278	¿Tiene el número del paquete?	Do you have the parcel number?	b1	shopping		formal	usted		queja-paquete-b1	Empleado	
002279	Sí, aquí está.	Yes, here it is.	b1	shopping					queja-paquete-b1	Cliente	
002280	Es raro que no esté aquí.	It is odd that it is not here.	b1	shopping					queja-paquete-b1	Empleado	react-to-news
002281	Me molesta mucho, lo necesito para el sábado.	It really annoys me, I need it for Saturday.	b1	shopping					queja-paquete-b1	Cliente	make-a-complaint
002282	Le pido disculpas. Le mandamos otro hoy.	I apologise. We will send you another today.	b1	shopping		formal	usted		queja-paquete-b1	Empleado	
002283	Prefiero que me devuelvan el dinero.	I would rather you gave me my money back.	b1	shopping,money					queja-paquete-b1	Cliente	ask-someone-to-do
002284	Como quiera. Lo hacemos ahora mismo.	As you wish. We will do it right now.	b1	shopping		formal	usted		queja-paquete-b1	Empleado	
002285	Perdona, ¿tienes un momento?	Excuse me, do you have a moment?	b1	city,social					queja-ruido-b1	Vecina	
002286	Claro, dime.	Of course, go ahead.	b1	city,social					queja-ruido-b1	Vecino	
002287	El ruido de la noche no me deja dormir.	The noise at night stops me sleeping.	b1	city,home					queja-ruido-b1	Vecina	make-a-complaint
002288	Lo siento, no sabía que se oía.	I am sorry, I did not know it could be heard.	b1	city					queja-ruido-b1	Vecino	
002289	Te pido que bajes la música después de las once.	I am asking you to turn the music down after eleven.	b1	city,music					queja-ruido-b1	Vecina	ask-someone-to-do
002290	Tienes razón. No va a volver a pasar.	You are right. It will not happen again.	b1	city					queja-ruido-b1	Vecino	
002291	Gracias, es importante que descansemos los dos.	Thank you, it is important that we both get some rest.	b1	city,health					queja-ruido-b1	Vecina	give-advice
002292	Avísame si vuelve a ocurrir.	Let me know if it happens again.	b1	city,communication			tu		queja-ruido-b1	Vecino	
002293	¿Miramos los gastos de este mes?	Shall we look at this month's costs?	b1	home,money					piso-gastos-b1	Marta	
